VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20,VAR21,VAR22,VAR23,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35,VAR36,VAR37,VAR38
20095353,0.8011,Vapi - Daman Road,N,30622.0,40.0,Y,24.97704,342633.0,Other Banks & CA,Dabhel,Vapi - Daman Road,Tier III,47.0,B Com,Male,300000.0,Polyester Yarn,Married,Indian,Salaried,Par,RBL Bank Ltd,Cheque,Childrens Plan,Annual,HDFC Life YoungStar Udaan ACADEMIA,2018-07-02,0,Resident Indian,15.0,1,N,Daman & Diu,Ratnakar Bank,213255.0,West,1
20245909,1,Bangalore - Jayanagar,N,100000.0,35.0,Y,25.34435,1000000.0,HDFC BANK,Bangalore,Bangalore - Jayanagar,Tier I,45.0,Post Graduation,Male,1000000.0,Petroleum,Married,Indian,Self employed/ Business,UL,HDFC BANK,DD,Investment,Annual,HDFC Life ProGrowth Plus,2018-03-27,0,Resident Indian,10.0,1,N,Karnataka,HDFC BANK,2000000.0,South 2,1
20881279,93.45,Delhi - Nehru Place,N,150000.0,46.0,Y,24.60938,1500000.0,HDFC BANK,delhi,Delhi Vikas Marg,Tier I,52.0,Post Graduation,Female,600000.0,School,Married,Indian,Salaried,UL,HDFC BANK,Cheque,Investment,Annual,HDFC SL ProGrowth - Flexi,2018-11-15,0,Resident Indian,10.0,1,N,Delhi,HDFC BANK,3000000.0,North 1,1
20142261,1,Gaya - Ox Bridge Campus,N,71700.0,29.0,N,22.77319,749270.0,HDFC BANK,Gaya,Gaya - Ox Bridge Campus,Tier III,48.0,B A,Male,700000.0,Accounts,Married,Indian,Self employed/ Business,Par,HDFC BANK,DD,Savings,Annual,HDFC Life Uday,2018-02-27,0,Resident Indian,12.0,0,N,Bihar,HDFC BANK,438050.0,East,1
20892720,75.37,Solapur - Harshwardhan Towers,N,15000.0,39.0,Y,23.53037,300000.0,HDFC BANK,solapur,Solapur - Harshwardhan Towers,Tier III,33.0,H S C,Female,300000.0,Hospital,Married,Indian,Salaried,UL,HDFC BANK,DD,Childrens Plan,Annual,HDFC YOUNGSTAR SUPER PREMIUM,2018-11-17,0,Resident Indian,10.0,1,N,Maharashtra,HDFC BANK,330000.0,West,1
20004268,0.8069,Delhi - Janakpuri,N,75000.0,32.0,Y,24.21875,3000000.0,Ex-HDFC,South West Delhi,Delhi - Vikaspuri,Tier I,31.0,B Com,Female,550000.0,Government Sector,Married,Indian,Salaried,UL,HDFC Sales Private Limited,DD,Investment,Monthly Premium,HDFC Life ProGrowth Plus,2018-01-19,0,Resident Indian,20.0,1,N,Delhi,HDFC Sales,6000000.0,North 1,1
20259622,0.9205,Vadodara - Kalaghoda,N,52686.0,32.0,N,26.44628,1200000.0,Ex-HDFC,Vadodara,Surat - Jolly Plaza,Tier II,37.0,Diploma,Male,300000.0,Manufacturing,Married,Indian,Salaried,Non Par,HDFC Sales Private Limited,DD,Protection,Annual,HDFCLife Click 2 Protect 3D Plus,2018-03-28,1,Resident Indian,22.0,1,N,Gujarat,HDFC Sales,1200000.0,West,0
20907725,88.11,Raipur - Pachpedi Naka,N,250000.0,21.0,Y,27.54821,6000000.0,HDFC BANK,panduka,Raipur - Pachpedi Naka,Tier III,63.0,Diploma in Civil Engineering,Male,1500000.0,Engineering,Married,Indian,Salaried,UL,HDFC BANK,Cheque,Investment,Annual,HDFC SL ProGrowth - Flexi,2018-11-27,0,Resident Indian,10.0,0,N,Chattisgarh,HDFC BANK,2000000.0,East,1
20210339,1,Goa - Margaon,N,30000.0,52.0,Y,28.34467,550000.0,Ex-HDFC,Pune,Pune - Nandadeep Fc Road,Tier I,52.0,B Com,Male,2000000.0,Manufacturing,Married,Indian,Salaried,UL,HDFC SECURITIES LIMITED,Cheque,Investment,Annual,HDFC Life ProGrowth Plus,2018-03-20,0,Resident Indian,10.0,0,N,Maharashtra,HDFC Sec,300000.0,West,1
19945366,0.7065,Nagpur - Central Avenue,N,50000.0,30.0,Y,24.34176,500000.0,HDFC BANK,Nagpur,Nagpur - Central Avenue,Tier II,33.0,M A,Female,400000.0,Retail,Married,Indian,Self employed/ Business,UL,HDFC BANK,"ECS,SI",Investment,Annual,HDFC Life ProGrowth Plus,2018-02-01,0,Resident Indian,10.0,0,N,Maharashtra,HDFC BANK,500000.0,West,1
20130771,-,Tripunithura - Hillplace Road,N,200000.0,26.0,N,33.13609,2000000.0,HDFC BANK,Thodupuzha,Thodupuzha - Pala Road,Tier III,22.0,MBBS,Female,700000.0,Medical,Single,Indian,Self employed/ Business,UL,HDFC BANK,DD,Investment,Annual,HDFC SL ProGrowth - Flexi,2018-02-27,0,Resident Indian,10.0,1,N,Kerala,HDFC BANK,4000000.0,South 2,0
20406376,44.42,Mathura - Sangam Complex,N,25000.0,33.0,N,22.85714,1062500.0,HDFC BANK,mathura,Agra - Sanjay Place,Tier III,37.0,Graduation,Male,600000.0,Education,Married,Indian,Salaried,UL,HDFC BANK,DD,Childrens Plan,Annual,HDFC YOUNGSTAR SUPER PREMIUM,2018-05-23,0,Resident Indian,15.0,1,N,Uttar Pradesh,HDFC BANK,550000.0,North 2,0
20316480,0.8124,Junagadh Branch,N,200000.0,91.0,Y,24.22145,7619802.0,HDFC BANK,Jetpur,Rajkot - Rajkumar College,Tier III,55.0,Diploma in Civil Engineering,Male,500000.0,Teaching,Married,Indian,Self employed/ Business,Par,HDFC BANK,Cheque,Savings,Annual,HDFC Life Super Income Plan,2018-04-13,0,Resident Indian,20.0,0,N,Gujarat,HDFC BANK,1399384.0,West,1
20279769,0.6626,Akola - Ratanlal Plots,N,25000.0,31.0,Y,19.53125,250000.0,HDFC BANK,Akola,Akola - Ratanlal Plots,Tier III,27.0,H S C,Male,300000.0,Business,Married,Indian,Self employed/ Business,UL,HDFC BANK,DD,Investment,Annual,HDFC Life ProGrowth Plus,2018-03-23,0,Resident Indian,10.0,0,N,Maharashtra,HDFC BANK,250000.0,West,1
20255133,1,Hyderabad - Begumpet,N,24000.0,35.0,Y,21.2585,141093.0,HDFC BANK,Hyderabad,Hyderabad - Begumpet,Tier I,45.0,B Com,Female,600000.0,Business,Married,Indian,Self employed/ Business,Par,HDFC BANK,Online-Bill,Savings,Annual,HDFC Life Super Income Plan,2018-03-17,0,Resident Indian,16.0,0,N,Telangana,HDFC BANK,141093.0,South 1,1
20919713,78.75,Sangli - Shiv Pavillion,N,25000.0,48.0,Y,22.77319,250000.0,HDFC BANK,sangli,Sangli - Shiv Pavillion,Tier III,45.0,Diploma in Mechanical Engineering,Male,900000.0,Service,Married,Indian,Salaried,UL,HDFC BANK,Online Credit/Debit Card/Teles Sales,Investment,Annual,HDFC Life ProGrowth Plus,2018-09-11,0,Resident Indian,10.0,0,N,Maharashtra,HDFC BANK,250000.0,West,1
20729850,83.29,Delhi - Nehru Place,N,5323.0,31.0,N,21.46194,3262200.0,Ex-HDFC,ballabhgarh,Faridabad Nit,Tier III,32.0,MBA,Male,330000.0,Service,Married,Indian,Salaried,Non Par,HDFC Sales Private Limited,Cheque,Protection,Annual,HDFC Life Click 2 Protect 3D+,2018-09-17,1,Resident Indian,15.0,1,N,Haryana,HDFC Sales,6524400.0,North 1,1
20088909,0.9135,Delhi - Asaf Ali Road,N,98000.0,31.0,N,24.97399,980000.0,HDFC BANK,Delhi,Delhi - Asaf Ali Road,Tier I,37.0,Under Matric (Class l to lX),Female,350000.0,Manufacturing,Married,Indian,Self employed/ Business,UL,HDFC BANK,"ECS,SI",Investment,Annual,HDFC Life ProGrowth Plus,2018-02-15,0,Resident Indian,10.0,1,N,Delhi,HDFC BANK,1960000.0,North 1,0
20356318,80.3,Nangal - Spoke,N,20000.0,12.0,Y,20.76125,200000.0,HDFC BANK,nawanshahr,Nawanshahr - Banga Road,Tier III,47.0,B A,Male,400000.0,Agriculture,Married,Indian,Agriculture,UL,HDFC BANK,Cheque,Investment,Annual,HDFC SL ProGrowth Super II,2018-03-05,0,Resident Indian,10.0,1,N,Punjab,HDFC BANK,400000.0,North 1,1
19990217,0.5892,Sriganganagar-Sukhadia Centre,N,33492.0,76.0,N,28.34467,134479.0,HDFC BANK,Hanumangarh,Sriganganagar -Sukhadia Centre,Tier III,5.0,Under Matric (Class l to lX),Female,300000.0,Agriculture,Single,Indian,Agriculture,Non Par,HDFC BANK,DD,Savings,Annual,HDFC Life Sanchay,2018-12-01,0,Resident Indian,15.0,0,N,Rajasthan,HDFC BANK,134479.0,North 2,1
20569872,80.86,Ranchi - Diversion Road,N,50000.0,38.0,Y,23.87511,500000.0,HDFC BANK,khunti,Ranchi - Diversion Road,Tier III,26.0,B A,Female,500000.0,Business,Single,Indian,Self employed/ Business,UL,HDFC BANK,Online Netbanking,Investment,Annual,HDFC Life ProGrowth Plus,2018-07-19,0,Resident Indian,10.0,0,N,Jharkhand,HDFC BANK,500000.0,East,1
21023771,100.0,Delhi - Asaf Ali Road,N,142780.0,20.0,Y,26.98962,3898360.0,HDFC BANK,delhi,Delhi - Asaf Ali Road,Tier I,50.0,Graduation,Male,1000000.0,Trading,Married,Indian,Self employed/ Business,Non Par,HDFC BANK,DD,Savings,Annual,HDFC Life Sanchay,2018-12-31,0,Resident Indian,15.0,0,N,Delhi,HDFC BANK,520980.0,North 1,1
21099939,77.91,Lucknow - Hazratganj,N,50000.0,41.0,N,21.96712,637080.0,HDFC BANK,azamgarh,Lucknow - Hazratganj,Tier III,55.0,B A,Male,750000.0,Teaching,Married,Indian,Salaried,UL,HDFC BANK,Cheque,Investment,Annual,HDFC SL ProGrowth Super II,2019-01-24,0,Resident Indian,10.0,0,N,Uttar Pradesh,HDFC BANK,350000.0,North 2,0
20665455,100.0,Tinsukia - Sharma Complex,N,25000.0,13.0,Y,20.2848,250000.0,HDFC BANK,moran,Dibrugarh - Amba Complex,Tier III,39.0,H S C,Female,250000.0,Business,Married,Indian,Self employed/ Business,UL,HDFC BANK,"ECS,SI",Investment,Annual,HDFC SL ProGrowth Super II,2018-08-24,0,Resident Indian,10.0,1,N,Assam,HDFC BANK,500000.0,East,1
19987554,0.7234,Mumbai - Kalyan,N,77208.0,43.0,Y,29.053290000000004,10000000.0,Other Banks & CA,Thane,Mumbai - Fort,Tier I,59.0,S S C,Male,10000000.0,Distribution,Married,Indian,Self employed/ Business,Non Par,RBL Bank Ltd,Cheque,Protection,Annual,HDFCLife Click 2 Protect 3D Plus,2018-01-16,1,Resident Indian,16.0,1,N,Maharashtra,Ratnakar Bank,20000000.0,West,1
20446439,100.0,Faridkot - Circular Road,N,25000.0,19.0,Y,23.73866,175000.0,HDFC BANK,faridkot,Faridkot - Circular Road,Tier III,59.0,B A,Male,300000.0,Electricity,Married,Indian,Salaried,UL,HDFC BANK,Cheque,Investment,Annual,HDFC SL ProGrowth - Flexi,2018-08-06,0,Resident Indian,10.0,0,N,Punjab,HDFC BANK,175000.0,North 1,1
20698547,90.33,Mumbai - Dadar West,N,600000.0,30.0,Y,25.0,11000000.0,HDFC BANK,mumbai,Mumbai - Dadar West,Tier I,55.0,LLB,Female,4500000.0,Legal And Justice,Single,Indian,Salaried,UL,HDFC BANK,DD,Investment,Annual,HDFC Life Click2Invest - ULIP,2018-07-09,0,Resident Indian,5.0,0,N,Maharashtra,HDFC BANK,6000000.0,West,1
21084132,76.73,Solapur - Harshwardhan Towers,N,25000.0,95.0,N,21.2585,1000000.0,Ex-HDFC,latur,Solapur - Harshwardhan Towers,Tier III,40.0,B A,Male,500000.0,Banking,Married,Indian,Salaried,UL,HDFC Sales Private Limited,DD,Investment,Annual,HDFC SL ProGrowth - Flexi,2019-01-14,0,Resident Indian,10.0,0,N,Maharashtra,HDFC Sales,1000000.0,West,0
19952099,1,Mumbai-Goregaon Branch,N,500000.0,38.0,Y,29.38476,5000000.0,HDFC BANK,Mumbai,Mumbai - Borivali,Tier I,25.0,Graduation,Female,1350000.0,Service,Single,Indian,Salaried,UL,HDFC BANK,DD,Investment,Annual,HDFC SL ProGrowth - Flexi,2017-12-29,0,Resident Indian,10.0,0,N,Maharashtra,HDFC BANK,5000000.0,West,1
20550145,100.0,Pune City Mall,N,47847.0,27.0,Y,24.97704,395737.0,HDFC BANK,gonda,Lucknow - Hazratganj,Tier III,51.0,H S C,Male,400000.0,Business,Married,Indian,Self employed/ Business,Par,HDFC BANK,DD,Childrens Plan,Annual,HDFC Life YoungStar Udaan,2018-06-28,0,Resident Indian,15.0,1,N,Uttar Pradesh,HDFC BANK,268584.0,West,1
20191697,-,Pune City Mall,N,30000.0,22.0,Y,26.21882,1200000.0,Ex-HDFC,Jalgaon,Jalgaon - Patel Plaza,Tier III,44.0,B Ed,Male,493491.0,Education,Married,Indian,Salaried,UL,HDFC Sales Private Limited,Cheque,Investment,Halfyearly Premium,HDFC SL ProGrowth - Flexi,2018-10-03,0,Resident Indian,20.0,1,N,Maharashtra,HDFC Sales,2400000.0,West,1
20674844,54.47,Chennai - T Nagar,N,50000.0,32.0,Y,23.05456,500000.0,HDFC BANK,chennai,Chennai - T. Nagar,Tier I,57.0,B A,Male,500000.0,Trader,Married,Indian,Others,UL,HDFC BANK,Cheque,Investment,Annual,HDFC Life ProGrowth Plus,2018-08-29,0,Resident Indian,10.0,0,N,Tamil Nadu,HDFC BANK,500000.0,South 1,1
